Time,Binance BTC/USDT Price,Kucoin BTC/USDT Price,Difference,Profit,Result,Recommendation
2024-07-07 22:47:52,$56364.42,$56347.1,$17.32,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:47:52,$56364.42,$56347.1,$17.32,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:47:58,$56361.09,$56344.7,$16.39,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:47:59,$56361.09,$56344.7,$16.39,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:48:12,$56371.1,$56344.9,$26.20,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:48:12,$56371.1,$56344.9,$26.20,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:49:42,$56371.09,$56354.9,$16.19,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:49:42,$56371.09,$56354.9,$16.19,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:49:55,$56388.31,$56376.5,$11.81,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:49:55,$56388.31,$56376.5,$11.81,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:51:12,$56471.11,$56481.7,$10.59,$0.00,Failed,Buy on Binance and sell on Kucoin
2024-07-07 22:51:12,$56471.11,$56481.7,$10.59,$0.00,Failed,Buy on Binance and sell on KuCoin
2024-07-07 22:52:04,$56489.23,$56476.0,$13.23,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:52:04,$56489.23,$56476.0,$13.23,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:52:29,$56512.57,$56499.9,$12.67,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:52:29,$56512.57,$56499.9,$12.67,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:53:14,$56531.08,$56517.8,$13.28,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:53:14,$56531.08,$56517.8,$13.28,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:53:33,$56557.99,$56546.0,$11.99,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:53:33,$56557.99,$56546.0,$11.99,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:53:46,$56567.13,$56556.2,$10.93,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:53:46,$56567.13,$56556.2,$10.93,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:53:53,$56571.09,$56561.0,$10.09,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:53:53,$56571.09,$56561.0,$10.09,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:54:19,$56600.0,$56588.2,$11.80,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:54:19,$56600.0,$56588.2,$11.80,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:54:32,$56608.43,$56597.0,$11.43,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:54:32,$56608.43,$56597.0,$11.43,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:55:24,$56550.0,$56535.1,$14.90,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:55:24,$56550.0,$56535.1,$14.90,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:55:31,$56581.09,$56555.2,$25.89,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:55:31,$56581.09,$56555.2,$25.89,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:55:50,$56569.03,$56551.6,$17.43,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:55:50,$56569.03,$56551.6,$17.43,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:55:57,$56566.01,$56551.6,$14.41,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:55:57,$56566.01,$56551.6,$14.41,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:56:17,$56555.98,$56536.9,$19.08,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:56:17,$56555.98,$56536.9,$19.08,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:56:38,$56561.09,$56550.0,$11.09,$0.00,Failed,Buy on Kucoin and sell on Binance
2024-07-07 22:56:38,$56561.09,$56550.0,$11.09,$0.00,Failed,Buy on KuCoin and sell on Binance
2024-07-07 22:56:45,$56581.09,$56550.0,$31.09,$0.00,Failed,Buy on Kucoin and sell on Binance
