Time,Binance BTC/USDT Price,Bybit BTC/USDT Price,Difference,Profit,Result,Recommendation
2024-07-04 22:35:04,$58417.77,$58396.8,$20.97,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:04,$58417.77,$58396.8,$20.97,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:06,$58421.1,$58396.7,$24.40,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:06,$58421.1,$58396.7,$24.40,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:08,$58421.1,$58399.9,$21.20,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:08,$58421.1,$58399.9,$21.20,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:10,$58421.99,$58399.9,$22.09,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:10,$58421.99,$58399.9,$22.09,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:12,$58425.78,$58400.0,$25.78,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:12,$58425.78,$58400.0,$25.78,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:14,$58425.79,$58404.7,$21.09,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:14,$58425.79,$58404.7,$21.09,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:16,$58427.38,$58408.2,$19.18,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:16,$58427.38,$58408.2,$19.18,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:19,$58430.6,$58409.6,$21.00,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:19,$58430.6,$58409.6,$21.00,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:20,$58430.6,$58409.6,$21.00,$0.00,Failed,Buy on Bybit and sell on Binance
2024-07-04 22:35:20,$58430.6,$58409.6,$21.00,$0.00,Failed,Buy on Bybit and sell on Binance
